IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
140358529,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,19:10,TARAVAL,"ARREST, CITED",19TH AV / HOLLOWAY AV,-122.475222189932,37.7210571460375,"(37.7210571460375, -122.475222189932)"
140357991,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,15:45,CENTRAL,NONE,0 Block of BAY ST,-122.405595152271,37.8066474069454,"(37.8066474069454, -122.405595152271)"
140358002,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,15:00,CENTRAL,NONE,0 Block of BAY ST,-122.405595152271,37.8066474069454,"(37.8066474069454, -122.405595152271)"
140356539,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,04/30/2014,02:00,TENDERLOIN,NONE,500 Block of JONES ST,-122.413103994465,37.7862019158295,"(37.7862019158295, -122.413103994465)"
140358030,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,04/30/2014,16:15,BAYVIEW,PSYCHOPATHIC CASE,1200 Block of NEWHALL ST,-122.391174928905,37.7367573382269,"(37.7367573382269, -122.391174928905)"
140358535,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,04/30/2014,17:20,SOUTHERN,NONE,800 Block of 4TH ST,-122.393707241082,37.7761145466208,"(37.7761145466208, -122.393707241082)"
140356551,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Wednesday,04/30/2014,02:55,BAYVIEW,"ARREST, BOOKED",0 Block of FLORA ST,-122.394291603745,37.7314198011266,"(37.7314198011266, -122.394291603745)"
140358052,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,04/30/2014,15:14,CENTRAL,"ARREST, BOOKED",100 Block of POST ST,-122.404488010879,37.7888224148383,"(37.7888224148383, -122.404488010879)"
140358052,WARRANTS,WARRANT ARREST,Wednesday,04/30/2014,15:14,CENTRAL,"ARREST, BOOKED",100 Block of POST ST,-122.404488010879,37.7888224148383,"(37.7888224148383, -122.404488010879)"
140358080,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,04/30/2014,16:52,PARK,"ARREST, CITED",SCOTT ST / EDDY ST,-122.437262577518,37.7808016285055,"(37.7808016285055, -122.437262577518)"
